DistrictID,District,School Year,Number of Students Tested,Language Skills (%) Level 1,Language Skills (%) Level 2,Language Skills (%) Level 3
,Andover School District,2013-14,,10.3,31,58.6
,Ansonia School District,2013-14,,24.4,38.8,36.9
,Ashford School District,2013-14,,7.1,31,61.9
,Avon School District,2013-14,,13.2,32.3,54.5
,Barkhamsted School District,2013-14,,4.8,47.6,47.6
,Berlin School District,2013-14,,36.3,44.6,19.2
,Bethany School District,2013-14,,20,42.2,37.8
,Bethel School District,2013-14,,14.7,48.4,36.9
,Bloomfield School District,2013-14,,28.5,39.4,32.1
,Bolton School District,2013-14,,16.7,43.8,39.6
,Bozrah School District,2013-14,,14.3,47.6,38.1
,Branford School District,2013-14,,22.7,54.7,22.7
,Bridgeport School District,2013-14,,31.1,40.5,28.4
,Bristol School District,2013-14,,19.5,41.7,38.7
,Brookfield School District,2013-14,,18.6,40.4,41
,Brooklyn School District,2013-14,,16.7,37.5,45.8
,Canterbury School District,2013-14,,6.1,45.5,48.5
,Canton School District,2013-14,,16.2,53.5,30.3
,Chaplin School District,2013-14,,21.7,17.4,60.9
,Cheshire School District,2013-14,,10.6,29,60.4
,Clinton School District,2013-14,,19.6,43.2,37.2
,Colchester School District,2013-14,,10.8,50.6,38.6
,Colebrook School District,2013-14,,8.3,58.3,33.3
,Columbia School District,2013-14,,19,33.3,47.6
,Coventry School District,2013-14,,25.8,22.7,51.6
,Cromwell School District,2013-14,,13.9,48.6,37.5
,Danbury School District,2013-14,,58.8,26.4,14.8
,Darien School District,2013-14,,6,26.4,67.6
,Derby School District,2013-14,,26.8,33.9,39.3
,Eastford School District,2013-14,,18.2,45.5,36.4
,East Granby School District,2013-14,,3.4,27.6,69
,East Haddam School District,2013-14,,32.5,41.3,26.3
,East Hampton School District,2013-14,,11.6,37.7,50.7
,East Hartford School District,2013-14,,35.7,45.9,18.4
,East Haven School District,2013-14,,21.4,42.3,36.4
,East Lyme School District,2013-14,,32.6,40.1,27.3
,Easton School District,2013-14,,13.5,70.3,16.2
,East Windsor School District,2013-14,,37.4,36.3,26.4
,Ellington School District,2013-14,,4.9,18.5,76.5
,Enfield School District,2013-14,,19.9,56.9,23.2
,Fairfield School District,2013-14,,16,40.2,43.8
,Farmington School District,2013-14,,10.6,23.3,66.1
,Glastonbury School District,2013-14,,22.2,34.3,43.5
,Granby School District,2013-14,,5.5,17.4,77.1
,Greenwich School District,2013-14,,18,41,41
,Griswold School District,2013-14,,18.5,63,18.5
,Groton School District,2013-14,,26.4,45.1,28.5
,Guilford School District,2013-14,,8.7,32.1,59.2
,Hamden School District,2013-14,,25.1,45.2,29.7
,Hartford School District,2013-14,,33.1,45.4,21.5
,Hartland School District,2013-14,,0,16.7,83.3
,Hebron School District,2013-14,,6.9,31,62.1
,Kent School District,2013-14,,20,56,24
,Killingly School District,2013-14,,26.6,44.3,29.1
,Lebanon School District,2013-14,,18.6,44.2,37.2
,Ledyard School District,2013-14,,17.5,41.5,40.9
,Lisbon School District,2013-14,,25,35,40
,Litchfield School District,2013-14,,13.8,75.9,10.3
,Madison School District,2013-14,,6.5,37.3,56.2
,Manchester School District,2013-14,,46.1,37.1,16.8
,Mansfield School District,2013-14,,24.1,42,33.9
,Marlborough School District,2013-14,,3.5,15.8,80.7
,Meriden School District,2013-14,,33.2,33.6,33.2
,Middletown School District,2013-14,,30.6,42.6,26.7
,Milford School District,2013-14,,11.2,34.2,54.5
,Monroe School District,2013-14,,18,52.6,29.4
,Montville School District,2013-14,,17.2,40,42.8
,Naugatuck School District,2013-14,,21.6,42.9,35.6
,New Britain School District,2013-14,,48.6,36.5,14.9
,New Canaan School District,2013-14,,7,30.7,62.2
,New Fairfield School District,2013-14,,9.3,48.1,42.6
,New Hartford School District,2013-14,,5.7,49.1,45.3
,New Haven School District,2013-14,,32.4,41.3,26.2
,Newington School District,2013-14,,24,53.1,22.9
,New London School District,2013-14,,27.6,38.7,33.7
,New Milford School District,2013-14,,29.9,42.1,28
,Newtown School District,2013-14,,13.9,34,52
,Norfolk School District,2013-14,,14.3,28.6,57.1
,North Branford School District,2013-14,,36.9,32.3,30.8
,North Canaan School District,2013-14,,0,40.9,59.1
,North Haven School District,2013-14,,31.3,43.6,25.1
,North Stonington School District,2013-14,,0,19.6,80.4
,Norwalk School District,2013-14,,30.3,40.3,29.4
,Norwich School District,2013-14,,37.4,41.5,21.1
,Old Saybrook School District,2013-14,,25.3,38.7,36
,Orange School District,2013-14,,7.5,36.8,55.7
,Oxford School District,2013-14,,7.8,19.8,72.4
,Plainfield School District,2013-14,,37.8,38.5,23.6
,Plainville School District,2013-14,,22.3,39.4,38.3
,Plymouth School District,2013-14,,12.7,50.9,36.4
,Pomfret School District,2013-14,,17.9,53.6,28.6
,Portland School District,2013-14,,17.8,60,22.2
,Preston School District,2013-14,,36.1,47.2,16.7
,Putnam School District,2013-14,,8.7,15.4,76
,Redding School District,2013-14,,16.7,39.3,44
,Ridgefield School District,2013-14,,4.2,24.8,71
,Rocky Hill School District,2013-14,,21.6,32,46.4
,Salem School District,2013-14,,17.1,41.5,41.5
,Seymour School District,2013-14,,15.9,42.3,41.8
,Shelton School District,2013-14,,18.5,47.7,33.8
,Sherman School District,2013-14,,4,8,88
,Simsbury School District,2013-14,,6.1,22.2,71.7
,Somers School District,2013-14,,14.1,39.4,46.5
,Southington School District,2013-14,,21.4,54.2,24.3
,South Windsor School District,2013-14,,23.6,35.6,40.8
,Sprague School District,2013-14,,18.2,21.2,60.6
,Stafford School District,2013-14,,15.4,48,36.6
,Stamford School District,2013-14,,27.7,39.9,32.5
,Sterling School District,2013-14,,45.8,37.5,16.7
,Stonington School District,2013-14,,14.2,22,63.8
,Stratford School District,2013-14,,15,44.1,40.9
,Suffield School District,2013-14,,4.5,39.1,56.4
,Thomaston School District,2013-14,,12.5,42.9,44.6
,Thompson School District,2013-14,,32.3,56.5,11.3
,Tolland School District,2013-14,,16.9,62.7,20.4
,Torrington School District,2013-14,,33.3,35.4,31.3
,Trumbull School District,2013-14,,21.2,45.7,33.1
,Union School District,2013-14,,12.5,37.5,50
,Vernon School District,2013-14,,17.6,32,50.4
,Voluntown School District,2013-14,,0,16,84
,Wallingford School District,2013-14,,23.1,38.3,38.6
,Waterbury School District,2013-14,,32.6,45.5,21.9
,Waterford School District,2013-14,,18.1,31.5,50.4
,Watertown School District,2013-14,,9.6,52.5,37.9
,Westbrook School District,2013-14,,14.9,29.8,55.3
,West Hartford School District,2013-14,,16.8,41.9,41.3
,West Haven School District,2013-14,,34.9,41.6,23.6
,Weston School District,2013-14,,15.9,49.2,34.8
,Westport School District,2013-14,,20.1,49.3,30.6
,Wethersfield School District,2013-14,,19.4,50.4,30.2
,Willington School District,2013-14,,17.1,65.9,17.1
,Wilton School District,2013-14,,2.5,22.3,75.2
,Winchester School District,2013-14,,40.4,34,25.5
,Windham School District,2013-14,,32.5,36,31.5
,Windsor School District,2013-14,,23.1,35.1,41.8
,Windsor Locks School District,2013-14,,5.5,53.2,41.3
,Wolcott School District,2013-14,,29.1,30.7,40.2
,Woodbridge School District,2013-14,,31,59.5,9.5
,Woodstock School District,2013-14,,22.5,41.3,36.3
,Regional School District 01,2013-14,,18.8,32.5,48.8
,Regional School District 04,2013-14,,37.2,38,24.8
,Regional School District 06,2013-14,,14.6,26.8,58.5
,Regional School District 10,2013-14,,12,30.1,57.8
,Regional School District 12,2013-14,,15.2,27.3,57.6
,Regional School District 13,2013-14,,11.2,60.7,28.1
,Regional School District 14,2013-14,,39,47.6,13.3
,Regional School District 15,2013-14,,9.5,47.4,43.1
,Regional School District 16,2013-14,,15.5,60.1,24.3
,Regional School District 17,2013-14,,10.5,24.5,65
,Regional School District 18,2013-14,,2.6,31.2,66.2
,Capitol Region Education Council,2013-14,,15.5,31.6,52.8
,Cooperative Educational Services,2013-14,,5,37.5,57.5
,Area Cooperative Educational Services,2013-14,,32.4,31.1,36.5
,Learn,2013-14,,17.5,40.2,42.3
,Jumoke Academy District,2013-14,,13.4,35.8,50.7
,Integrated Day Charter School District,2013-14,,20,33.3,46.7
,Side By Side Charter School District,2013-14,,0,40.9,59.1
,Amistad Academy District,2013-14,,5.6,21.1,73.3
,New Beginnings Inc. Family Academy District,2013-14,,12.2,61,26.8
,Bridgeport Achievement First District,2013-14,,41.1,56.7,2.2
,Achievement First Hartford Academy Inc. District,2013-14,,20,28.9,51.1
,Elm City College Preparatory School District,2013-14,,12.9,32.3,54.8
